Table 1. Data Used in This Study																					
Name																					
 	"Lat., degreesN"	"Lon., degreesE"	"Az, degrees"	"as, degrees"	"ad, degrees"	"Dmax, km"	"L, km"	Vcn	 Vcmpn	Vupn	Vupn (heuret)	"Vtn, mm.a-1"	Vtn (heuret)	Vsubn	Vzn	"A, Ma"	"f, km"	"Fsp, 1012 N.m-1"	UPN	Slab Edge	UPS
NKOUR2	49	"157,5"	314	36	50	850	924	77	77	-19	-18.9	-19	-18.9	97	56	110	6149	32	c	n	C1
NKOUR1	51	"160,2"	304	37	51	850	909	77	77	-19	-19.2	-19	-19.2	96	57	110	6235	31	c	n	C1
KAM2	53	"162,3"	300	38	56	670	860	75	75	-18	-17.7	-18	-17.7	93	58	100	5848	28	c	y	E1
KAM1	"54,5"	"163,6"	300	40	64	400	500	74	74	-17	-16.7	-17	-16.7	91	59	100	5899	16	c	y	E1
W_ALE1	"51,6"	173	28	37	-	300	430	21	21	5	4.6	5	4.6	17	15	45	669	10	c	y	C1
W_ALE2	"51,1"	175	16	40	-	300	440	36	36	2	1.6	2	1.6	35	24	45	1095	10	c	y	C1
C_ALE1	"50,8"	177	21	40	56	350	466	32	32	-3	-3.4	-3	-3.4	29	24	54	1282	11	c	n	C1
C_ALE2	"50,4"	179	12	40	57	400	522	42	42	-1	-0.8	-1	-0.8	42	32	56	1805	13	c	n	C1
C_ALE3	"50,3"	181	351	39	"57,5"	475	614	51	51	-2	-1.6	-2	-1.6	54	40	58	2303	15	c	n	0
C_ALE4	"50,4"	183	350	38	58	550	704	61	61	-5	-5	-5	-5	65	47	58	2745	18	c	n	0
C_ALE5	"50,5"	185	352	36	59	550	708	61	61	-5	-4.6	-5	-4.6	66	47	58	2742	18	c	n	0
C_ALE6	"50,9"	187	353	"35,5"	62	500	640	59	59	-3	-3.3	-3	-3.3	63	46	63	2904	17	c	n	0
E_ALE1	"51,1"	189	342	35	61	500	647	64	64	-6	-6	-6	-6	71	50	63	3122	17	c	n	0
E_ALE2	"51,5"	191	336	34	60	450	599	65	65	-7	-7.3	-7	-7.3	73	49	61	2998	15	c	n	0
E_ALE3	52	193	338	33	59	450	609	65	65	-6	-6	-6	-6	71	48	59	2813	15	c	n	E1
E_ALE4	"52,5"	195	338	32	-	400	590	64	64	-6	-5.7	-6	-5.7	70	43	58	2509	15	c	n	E1
E_ALE5	"53,1"	197	340	31	53	400	600	33	33	-5	-4.8	-5	-4.8	68	22	53	1159	14	c	n	0
W_ALA1	"53,5"	199	344	29	-	400	750	62	62	-4	-3.7	-4	-3.7	65	33	52	1706	18	c	n	0
W_ALA2	"53,8"	201	342	28	48	400	636	60	60	-3	-3.2	-3	-3.2	64	38	52	1961	15	c	n	0
W_ALA3	"54,2"	203	341	26	-	300	670	59	59	-3	-3	-3	-3	62	27	52	1381	16	c	n	0
W_ALA4	"54,8"	205	323	24	-	300	660	58	58	-7	-7	-7	-7	65	26	52	1369	16	c	n	0
W_ALA5	"55,6"	207	330	23	45	300	567	58	58	-5	-4.5	-5	-4.5	63	31	49	1495	13	c	n	0
E_ALA1	"56,2"	209	331	21	43	300	605	56	56	-4	-4.1	-4	-4.1	61	28	46	1267	14	c	n	C1
E_ALA2	"57,1"	211	320	19	40	300	656	52	52	-6	-6.1	-6	-6.1	58	24	45	1062	15	c	n	C1
E_ALA3	58	213	315	18	38	300	689	47	47	-6	-6.4	-6	-6.4	54	20	40	817	14	c	n	C1
E_ALA4	"59,1"	"214,5"	311	16	-	200	770	43	43	-7	-6.8	-7	-6.8	50	11	39	437	16	c	y	C1
E_ALA5	"59,2"	"215,5"	345	14	-	200	830	52	52	2	1.5	2	1.5	51	13	39	489	17	c	y	C1
CASC1	50	"231,7"	70	20	-	400	-	44	46	21	21	19	18.8	25	-	5	-	-	c	y	0
CASC2	48	"233,4"	70	17	45	300	675	37	39	22	22	20	19.7	17	16	10	163	7	c	y	0
CASC3	46	"234,1"	80	13	45	300	803	31	32	24	23.8	23	22.8	8	12	11	127	9	c	n	0
CASC4	44	"234,6"	86	16	45	300	701	24	24	24	24	24	24	0	10	11	113	8	c	y	E1
MEX1	"19,1"	"254,5"	55	38	-	300	470	40	40	36	35.9	36	35.9	4	25	8	202	4	c	y	E1
MEX2	"17,9"	256	37	30	-	300	-	47	47	30	29.7	30	29.7	18	-	8	-	-	c	y	E1
MEX3	"16,9"	258	25	20	-	300	-	51	51	25	25.1	25	25.1	26	-	15	-	-	c	n	E1
MEX4	"16,3"	260	30	16	-	300	-	55	55	23	23.2	23	23.2	33	-	15	-	-	c	n	E1
MEX5	"15,6"	262	18	18	-	300	-	60	60	22	21.7	22	21.7	38	-	15	-	-	c	n	E1
MEX6	"15,3"	264	10	25	-	300	570	61	61	17	16.7	17	16.7	44	32	15	478	7	c	n	E1
COST1	"14,2"	266	21	27	55	300	489	63	63	21	21.4	21	21.4	42	38	18	692	7	c	n	E1
COST2	"13,2"	268	27	28	54	400	606	68	68	20	19.6	20	19.6	49	45	22	987	9	c	n	0
COST3	"12,3"	270	22	30	64	400	556	73	73	19	18.5	19	18.5	55	52	24	1255	9	c	n	0
COST4	"11,4"	272	32	32	66	400	537	78	78	22	22.3	22	22.3	55	58	28	1621	9	c	n	0
COST5	"9,4"	274	30	29	57	400	586	83	83	22	21.6	22	21.6	62	57	26	1474	10	c	y	C1
COL1	5	"281,9"	113	28	50	670	978	45	53	39	38.6	27	27.4	15	31	19	587	14	c	y	C3
