  140.5  10.8 -3.32944978 -9.28099 -38. -25. -21. -11.
  143.3  27. -7.96519435 -8.601509 -60. -29. -27. -19.
  142.9  29. -6.29937131 -8.60459 -43. -18. -17. -14.
  142.3  31. -6.51601017 -8.322903 -44. -16. -15. -11.
  142.1  33. -6.62700071 -8.310723 -42. -14. -12. -8.
  142.5  11.4 -4.32762877 -8.94486 -47. -30. -25. -14.
  144.5  12. -5.90381985 -8.66922 -31. -7. -2.  10.
  146.5  13.3 -7.20846734 -8.03415 -44. -13. -8.  4.
  147.5  15. -8.6347387 -8.64177 -48. -15. -11.  0.
  147.8  17. -7.8217569 -8.21497 -46. -19. -16. -8.
  147.6  19. -7.25383302 -8.31173 -57. -29. -27. -22.
  146.9  21. -5.14512817 -8.87615 -34. -17. -17. -16.
  145.1  23. -3.55575842 -8.84575 -27. -14. -15. -16.
